id	name	source	origin
athpahariya	Athpahariya	https://nepalmatribhasha.org/en/athpahariya	nepal-matribhasha
bantawa	Bantawa	https://nepalmatribhasha.org/en/bantawa	nepal-matribhasha
bote	Bote	https://nepalmatribhasha.org/en/bote	nepal-matribhasha
chepang	Chepang	https://nepalmatribhasha.org/en/chepang	nepal-matribhasha
darai	Darai	https://nepalmatribhasha.org/en/darai	nepal-matribhasha
dewas-rai	Dewas Rai	https://nepalmatribhasha.org/en/dewas-rai	nepal-matribhasha
dhimal	Dhimal	https://nepalmatribhasha.org/en/dhimal	nepal-matribhasha
dotiyali	Dotiyali	https://nepalmatribhasha.org/en/dotiyali	nepal-matribhasha
gamal-kham	Gamal Kham	https://nepalmatribhasha.org/en/gamal-kham	nepal-matribhasha
gurung-central	Gurung, Central	https://nepalmatribhasha.org/node/116	nepal-matribhasha
hyolmo	Hyolmo	https://nepalmatribhasha.org/en/hyolmo	nepal-matribhasha
jumli	Jumli	https://nepalmatribhasha.org/en/jumli	nepal-matribhasha
khaling	Khaling	https://nepalmatribhasha.org/en/khaling	nepal-matribhasha
kulung	Kulung	https://nepalmatribhasha.org/en/kulung	nepal-matribhasha
lhomi	Lhomi	https://nepalmatribhasha.org/en/lhomi	nepal-matribhasha
lowa	Lhowa	https://nepalmatribhasha.org/en/lowa	nepal-matribhasha
limbu	Limbu	https://nepalmatribhasha.org/en/limbu	nepal-matribhasha
lohorung	Lohorung	https://nepalmatribhasha.org/en/lohorung	nepal-matribhasha
magar-eastern	Magar, Eastern	https://nepalmatribhasha.org/en/magar-eastern	nepal-matribhasha
magar-kham	Magar, Kham	https://nepalmatribhasha.org/en/magar-kham	nepal-matribhasha
magar-western	Magar, Western	https://nepalmatribhasha.org/en/magar-western	nepal-matribhasha
maithili	Maithili	https://nepalmatribhasha.org/en/maithili	nepal-matribhasha
majhi	Majhi	https://nepalmatribhasha.org/en/majhi	nepal-matribhasha
mewahang-eastern	Mewahang, Eastern	https://nepalmatribhasha.org/en/mewahang-eastern	nepal-matribhasha
nepali	Nepali	https://nepalmatribhasha.org/en/nepali	nepal-matribhasha
newari	Newari	https://nepalmatribhasha.org/en/newari	nepal-matribhasha
rajbanshi	Rajbanshi	https://nepalmatribhasha.org/en/rajbanshi	nepal-matribhasha
sampang	Sampang	https://nepalmatribhasha.org/en/sampang	nepal-matribhasha
sherpa	Sherpa	https://nepalmatribhasha.org/en/sherpa	nepal-matribhasha
syuba	Syuba	https://nepalmatribhasha.org/en/syuba	nepal-matribhasha
sunuwar	Sunuwar	https://nepalmatribhasha.org/en/sunuwar	nepal-matribhasha
tamang-eastern	Tamang, Eastern	https://nepalmatribhasha.org/en/tamang-eastern	nepal-matribhasha
tamang-western	Tamang, Western	https://nepalmatribhasha.org/en/tamang-western	nepal-matribhasha
thami	Thami	https://nepalmatribhasha.org/en/thami	nepal-matribhasha
tharu-chitwan	Tharu, Chitwan	https://nepalmatribhasha.org/en/tharu-chitwan	nepal-matribhasha
tharu-dangaura	Tharu, Dangaura	https://nepalmatribhasha.org/en/tharu-dangaura	nepal-matribhasha
tharu-mid-eastern	Tharu, Mid-Eastern	https://nepalmatribhasha.org/en/tharu-mid-eastern	nepal-matribhasha
thulung	Thulung	https://nepalmatribhasha.org/en/thulung	nepal-matribhasha
wambule	Wambule	https://nepalmatribhasha.org/en/wambule	nepal-matribhasha
yakkha	Yakkha	https://nepalmatribhasha.org/en/yakkha	nepal-matribhasha
chamling-local	Chamling	workspace-inventory	local-workspace
chhiling	Chhiling	workspace-inventory	local-workspace
dumi	Dumi	workspace-inventory	local-workspace
